Rank,CityName,State,Region,num_stem_jobs_2019,pct_stem_jobs_2019,num_stem_jobs_change_2015_2019,pct_stem_jobs_change_2015_2019,num_women_stem_2019,pct_women_stem_2019,num_women_stem_change_2015_2019,pct_women_stem_change_2015_2019,median_stem_income_all_2019,pct_median_stem_income_change_all_2015_2019,median_stem_income_women_2019,pct_median_stem_income_change_women_2015_2019
1,New York,NY,Northeast,215699,5.2,36763,0.9,68650,31.8,14382,1.5,82221,13.5,75923.0,22.2
2,San Francisco,CA,West,84856,15.7,24124,3.7,23644,27.9,9690,4.9,126121,24.6,101852.0,24.0
3,Seattle,WA,West,91891,19.5,31777,5.0,24642,26.8,9874,2.2,109402,25.6,82649.0,17.8
4,San Jose,CA,West,95647,17.6,22810,3.5,24718,25.8,8080,3.0,126919,19.0,107978.0,19.6
5,Fremont,CA,West,37563,29.7,8414,4.7,9650,25.7,2181,0.1,122191,14.7,111940.0,21.8
6,San Diego,CA,West,91810,12.5,22079,2.4,25850,28.2,6528,0.4,91128,19.2,83807.0,31.0
7,Chicago,IL,Midwest,95120,6.9,22991,1.4,30023,31.6,10827,4.9,78979,12.8,70605.0,16.6
8,Oakland,CA,West,23290,10.1,7865,3.0,8698,37.3,4651,11.1,101092,39.4,81852.0,37.2
9,Oxnard,CA,West,4629,4.6,2889,2.7,1706,36.9,1526,26.5,100348,53.5,87447.0,71.2
10,Los Angeles,CA,West,98582,4.8,18274,0.7,29829,30.3,6377,1.1,80649,21.2,65257.0,12.8
11,Washington,DC,South,49061,12.7,9419,1.7,18639,38.0,1997,-4.0,91659,17.6,90278.0,34.6
12,Austin,TX,South,73015,12.6,15752,1.8,18667,25.6,4347,0.6,83807,6.8,72854.0,31.1
13,Atlanta,GA,South,28002,10.7,11959,3.8,8797,31.4,4079,2.0,76455,9.2,76163.0,37.4
14,Arlington CDP,VA,South,26635,18.2,6584,4.3,8857,33.3,1600,-2.9,92429,4.3,87220.0,1.8
15,Jersey City,NJ,Northeast,18206,12.5,5035,2.7,5454,30.0,3296,13.6,92647,6.7,87402.0,21.7
16,Boston,MA,Northeast,40443,9.9,11889,2.1,14684,36.3,5170,3.0,76828,17.4,62985.0,20.1
17,Chandler,AZ,West,19958,14.5,3852,2.6,5150,25.8,1505,3.2,99255,24.2,86939.0,41.8
18,Portland,OR,West,39093,10.5,11708,2.5,11608,29.7,3993,1.9,79802,12.7,70490.0,25.5
19,Houston,TX,South,79573,7.0,8089,0.7,23964,30.1,4318,2.6,80875,5.0,68172.0,1.5
20,Phoenix,AZ,West,51572,6.1,17787,1.5,12426,24.1,5152,2.6,74635,11.3,67029.0,14.1
21,Scottsdale,AZ,West,12884,9.4,5239,3.1,3940,30.6,2258,8.6,81284,14.7,71179.0,27.5
22,Irvine,CA,West,23059,16.0,3494,0.2,4212,18.3,820,0.9,100918,12.0,95278.0,23.2
23,Charlotte,NC,South,38968,8.0,6935,0.5,12608,32.4,4333,6.5,76280,5.2,70565.0,5.9
24,Frisco,TX,South,15427,14.8,4110,-0.2,4723,30.6,1323,0.6,103450,6.9,83854.0,0.4
25,Minneapolis,MN,Midwest,27050,10.8,7487,2.6,6845,25.3,1384,-2.6,73985,21.7,70234.0,25.2
26,Stockton,CA,West,4352,3.3,1341,0.8,933,21.4,584,9.8,75472,31.6,91360.0,78.2
27,Dallas,TX,South,38237,5.6,9975,1.2,10827,28.3,2581,-0.9,70846,7.3,70105.0,34.1
28,Nashville,TN,South,25470,6.7,10139,2.3,8257,32.4,3461,1.1,66764,18.2,57813.0,13.5
29,Plano,TX,South,22699,14.7,1777,0.9,5243,23.1,206,-1.0,100592,13.2,83142.0,10.5
30,Denver,CO,West,38423,9.0,11027,1.6,10745,28.0,3660,2.1,72189,2.0,62612.0,3.5
31,Fort Worth,TX,South,25733,5.8,6773,1.0,8114,31.5,3856,9.1,72181,-3.6,66094.0,26.2
32,Pittsburgh,PA,Northeast,20095,12.4,7119,3.7,5443,27.1,1212,-5.5,61070,26.7,55531.0,44.4
33,Madison,WI,Midwest,23357,14.7,3298,1.0,7074,30.3,1138,0.7,62620,23.4,57656.0,62.2
34,Sacramento,CA,West,18878,7.4,2276,-0.2,8323,44.1,3015,12.1,70902,1.1,64954.0,7.0
35,Indianapolis,IN,Midwest,26315,6.2,7833,1.7,9542,36.3,4194,7.3,69477,9.4,52785.0,-15.5
36,Virginia Beach,VA,South,19882,8.8,7964,3.3,4668,23.5,1747,-1.0,78087,11.3,66965.0,1.1
37,Philadelphia,PA,Northeast,38018,5.2,5484,0.4,12867,33.8,1948,0.3,70682,19.2,60259.0,15.5
38,Salt Lake City,UT,West,12870,10.9,4729,3.2,4612,35.8,2446,9.2,60765,17.4,49140.0,-2.8
39,Aurora,CO,West,12618,6.2,4621,1.9,3881,30.8,1289,-1.7,71152,17.0,74046.0,22.6
40,St. Louis,MO,Midwest,12654,8.1,3136,1.9,4735,37.4,1533,3.8,65432,24.8,51778.0,24.3
41,Santa Ana,CA,West,7309,4.5,3644,2.1,1261,17.3,217,-11.2,79430,52.4,81103.0,33.6
42,Columbus,OH,Midwest,37419,7.5,9332,1.2,10357,27.7,2785,0.7,66132,10.0,55280.0,7.3
43,Urban Honolulu CDP,HI,West,10567,5.9,2818,1.7,3490,33.0,1106,2.3,72479,16.7,70395.0,15.9
44,Colorado Springs,CO,West,23167,9.7,7054,2.2,4229,18.3,327,-6.0,81737,6.6,72288.0,28.5
45,Long Beach,CA,West,14291,6.0,2894,0.9,4271,29.9,548,-2.8,80645,20.5,76120.0,7.7
46,Huntsville,AL,South,14190,14.2,3342,1.8,2164,15.3,-706,-11.2,92206,14.5,84206.0,12.1
47,Des Moines,IA,Midwest,8041,7.3,3699,3.4,2274,28.3,652,-9.1,67116,21.9,66410.0,27.7
48,Raleigh,NC,South,25688,10.1,3375,0.7,7159,27.9,1741,3.6,73742,2.8,61193.0,9.9
49,Oklahoma City,OK,South,21248,6.7,6924,1.9,5417,25.5,2545,5.4,62940,1.0,56359.0,13.5
50,Anchorage,AK,West,9569,6.7,-1193,-0.5,3040,31.8,-48,3.1,81674,15.7,72368.0,29.5
51,Omaha,NE,Midwest,17375,7.0,4864,1.5,5721,32.9,2138,4.3,71000,14.1,51960.0,-16.6
52,Irving,TX,South,14097,10.9,890,0.4,3784,26.8,-58,-2.2,85041,6.1,70889.0,14.7
53,Kansas City,MO,Midwest,19080,7.3,4813,1.4,5930,31.1,2349,6.0,62181,-1.0,55478.0,7.5
54,Corpus Christi,TX,South,6006,4.0,1813,1.3,1289,21.5,511,2.9,66523,11.6,79712.0,40.5
55,Milwaukee,WI,Midwest,12617,4.6,936,0.4,3571,28.3,451,1.6,62292,23.9,66333.0,45.7
56,Tampa,FL,South,12880,6.5,4714,1.8,3613,28.1,1674,4.3,68397,4.0,52861.0,18.2
57,Wichita,KS,Midwest,10491,5.5,-251,-0.2,3105,29.6,1561,15.2,70965,16.2,62034.0,12.5
58,Anaheim,CA,West,10565,5.7,2215,0.9,3035,28.7,1229,7.1,76056,0.6,72961.0,-8.8
59,New Orleans,LA,South,10023,5.3,1036,0.5,3526,35.2,718,3.9,68012,29.9,51377.0,17.8
60,Baltimore,MD,South,19920,7.1,1515,0.3,7443,37.4,441,-0.7,70560,6.2,60130.0,7.2
61,Arlington,TX,South,11292,5.6,1958,0.9,3677,32.6,1805,12.5,63345,0.6,62646.0,-0.2
62,Baton Rouge,LA,South,7463,7.0,-12,0.2,1939,26.0,-5,0.0,72932,43.8,47549.0,48.3
63,Richmond,VA,South,8096,6.5,2536,1.4,2627,32.4,865,0.8,70741,15.7,50736.0,15.6
64,Durham,NC,South,15684,10.5,2449,0.9,5168,33.0,-118,-7.0,71909,3.2,66369.0,3.8
65,Reno,NV,West,7587,5.4,1880,0.7,2357,31.1,825,4.2,70750,14.6,60835.0,9.3
66,Gilbert,AZ,West,11664,9.1,1360,0.8,2513,21.5,825,5.2,82336,9.0,65857.0,-8.0
67,Albuquerque,NM,West,22201,8.0,3925,1.0,5438,24.5,1072,0.6,75756,6.7,56082.0,-2.1
68,Winston-Salem,NC,South,4050,3.6,-446,-0.6,1569,38.7,309,10.7,62888,6.5,64235.0,25.5
69,Garland,TX,South,7629,6.4,1942,1.6,2043,26.8,382,-2.4,59796,-0.8,69579.0,34.0
70,Mesa,AZ,West,16373,6.5,5533,1.6,3521,21.5,1027,-1.5,69408,2.2,60958.0,8.4
71,Boise City,ID,West,11254,9.0,1579,0.5,2710,24.1,729,3.6,70230,14.9,55288.0,15.6
72,Orlando,FL,South,8984,5.6,3667,2.0,2054,22.9,770,-1.3,62537,-2.2,62634.0,33.6
73,Bakersfield,CA,West,8918,5.5,2585,1.6,2300,25.8,761,1.5,78638,9.0,63594.0,-20.8
74,Cincinnati,OH,Midwest,10073,6.6,1675,0.6,3536,35.1,307,-3.3,67349,21.3,56096.0,0.3
75,Santa Clarita,CA,West,6884,6.6,2370,1.8,1572,22.8,357,-4.1,100578,17.7,51150.0,-24.1
76,Norfolk,VA,South,5932,5.6,706,0.4,1170,19.7,240,1.9,68517,12.5,58380.0,61.3
77,San Antonio,TX,South,36633,4.9,7294,0.5,9663,26.4,1086,-2.9,65641,7.3,51135.0,-8.6
78,Cleveland,OH,Midwest,6558,4.0,1685,0.7,2049,31.2,1104,11.9,56242,-2.1,49788.0,41.4
79,Tucson,AZ,West,17345,6.8,4221,1.1,3769,21.7,320,-4.6,61746,20.7,52835.0,25.5
80,Jacksonville,FL,South,24135,5.4,4650,0.7,6115,25.3,449,-3.7,63175,1.9,57807.0,10.1
81,Lincoln,NE,Midwest,11026,6.9,3355,1.8,2978,27.0,1351,5.8,57601,4.1,46137.0,-4.3
82,Louisville,KY,South,16312,5.4,4009,1.2,3114,19.1,-6,-6.3,70285,15.1,61851.0,1.5
83,Paradise CDP,NV,West,2993,2.2,-540,-0.9,1106,37.0,-188,0.3,56677,10.4,56982.0,56.2
84,Henderson,NV,West,5091,3.4,-89,-0.5,1013,19.9,-181,-3.2,81476,23.8,77989.0,-8.5
85,Chesapeake,VA,South,7409,6.7,-186,-0.3,1707,23.0,-675,-8.3,79461,9.9,78108.0,-2.5
86,Grand Rapids,MI,Midwest,6044,5.8,2111,1.8,1713,28.3,1049,11.5,60661,9.9,47450.0,-27.7
87,Modesto,CA,West,3111,3.4,-665,-1.0,423,13.6,-917,-21.9,74485,44.5,77146.0,60.6
88,Memphis,TN,South,10904,3.7,-1443,-0.6,3707,34.0,-182,2.5,66956,9.4,51181.0,20.5
89,Lexington,KY,South,10583,6.4,-214,-0.3,3695,34.9,1472,14.3,55272,-9.6,47991.0,3.5
90,Spokane,WA,West,5188,4.9,1256,0.7,1446,27.9,543,4.9,66241,12.7,53833.0,-15.8
91,Riverside,CA,West,6489,4.1,1480,0.7,1380,21.3,378,1.3,68565,13.3,54278.0,7.7
92,Miami,FL,South,9359,3.8,2434,0.5,2432,26.0,906,3.9,64962,25.0,39406.0,-9.3
93,St. Paul,MN,Midwest,13826,8.5,2786,1.4,3725,26.9,-129,-8.0,65866,1.1,53081.0,-17.3
94,Buffalo,NY,Northeast,5391,4.7,1633,1.3,1037,19.2,-111,-11.3,61076,8.6,58575.0,38.5
95,St. Petersburg,FL,South,7680,5.5,720,-0.1,2336,30.4,-82,-4.3,60485,-13.6,56286.0,40.3
96,Tulsa,OK,South,9450,4.9,719,0.4,2670,28.3,392,2.2,68020,11.3,46250.0,-8.4
97,Moreno Valley,CA,West,1826,1.9,-122,-0.3,407,22.3,-230,-10.4,68407,13.9,65815.0,31.2
98,Las Vegas,NV,West,10705,3.6,4594,1.4,1315,12.3,-99,-10.9,64304,-9.2,71046.0,23.4
99,Toledo,OH,Midwest,3757,3.1,-787,-0.5,974,25.9,-285,-1.8,58038,30.2,38745.0,51.6
100,Greensboro,NC,South,6718,4.6,679,0.2,1865,27.8,256,1.1,61479,2.1,52048.0,2.0
101,Lubbock,TX,South,5273,4.1,1519,0.9,1729,32.8,743,6.5,50345,25.0,31742.0,-12.5
103,Yonkers,NY,Northeast,1986,2.1,-1493,-1.6,269,13.5,-896,-19.9,86263,22.5,85828.0,20.3
104,Tacoma,WA,West,5820,5.1,1697,0.9,1724,29.6,466,-0.9,65548,-2.0,52260.0,-26.4
105,Fayetteville,NC,South,2002,2.5,-121,-0.3,337,16.8,-175,-7.3,55969,23.5,54101.0,61.1
106,Spring Valley CDP,NV,West,3629,3.1,1331,0.8,887,24.4,261,-2.8,63976,20.1,51372.0,-15.7
107,Fontana,CA,West,2554,2.6,862,0.7,538,21.1,177,-0.3,70714,-5.2,61520.0,-15.2
108,Glendale,AZ,West,5613,4.8,863,0.3,1480,26.4,385,3.3,70575,7.7,38947.0,-32.0
109,Fort Wayne,IN,Midwest,6861,5.3,84,-0.3,1473,21.5,398,5.6,63723,7.5,45716.0,-23.8
110,Detroit,MI,Midwest,8201,3.1,2118,0.4,2514,30.7,-227,-14.4,52096,12.0,40938.0,12.2
111,Chula Vista,CA,West,8600,6.8,1939,1.2,1619,18.8,527,2.4,71869,-0.6,37273.0,-39.4
113,Fresno,CA,West,7731,3.4,382,0.0,1817,23.5,-367,-6.2,66573,10.2,50951.0,-27.9
114,Hialeah,FL,South,2598,2.3,657,0.4,479,18.4,-154,-14.2,51817,17.5,46788.0,25.9
115,Rochester,NY,Northeast,5675,5.9,2542,2.3,1200,21.1,533,-0.1,51195,0.1,32000.0,-29.9
116,Newark,NJ,Northeast,2702,2.2,489,0.2,453,16.8,-392,-21.4,66209,6.8,54375.0,-11.7
117,El Paso,TX,South,8764,2.9,-1400,-0.6,2419,27.6,-778,-3.9,49711,-2.6,40705.0,-19.2
118,Birmingham,AL,South,3267,3.4,466,0.5,862,26.4,-161,-10.1,55384,-6.2,31689.0,-39.5
119,North Las Vegas,NV,West,2711,2.3,-305,-0.7,275,10.1,-241,-7.0,36674,-34.0,36282.0,54.9
